Customer_Name,Last_Order_Date,Frequency,Monetary,Recency_Days,Churn,is_churned,Balance Total
399 Vietnamese Kitchen,5/28/2025,6,313.5,46,0,0,0
A-1 Plus,7/23/2024,4,346.0,355,1,1,0
American Paper and Provisions,4/24/2023,1,0.0,811,1,1,
And Destroy Coffee,7/7/2025,5,1659.4,6,0,0,2311.05
Avi Cue,2/5/2024,1,18.0,524,1,1,0
Awakening,7/7/2025,2,157.0,6,0,0,731.9
Azizam,6/24/2025,14,680.5,19,0,0,-42.61
B&T's Deli,2/8/2024,1,49.82,521,1,1,0
BUB AND GRANDMA'S - RESTAURANT,7/10/2025,204,10966.07,3,0,0,21612.83
Bacetti,3/25/2025,3,-13.24,110,1,1,305.25
Baked Bar LA,7/10/2025,58,3167.55,3,0,0,7296.51
Bar Chelou,3/3/2025,6,216.2,132,1,1,-166.5
Bar Nine- Culver City,12/6/2024,44,4175.35,219,1,1,-80.45
Bar Nine- El Segundo,7/9/2025,17,1375.53,4,0,0,829.64
Bar Siesta,4/14/2025,4,233.86,90,0,0,991.86
Bell's Los Alamos,2/4/2025,3,277.96,159,1,1,382.39
Belle's Bagels - Fair Oaks,10/18/2023,40,2646.82,634,1,1,599.95
Belle's Bagels - York Blvd,6/19/2025,72,4066.77,24,0,0,4287.99
Best Grocery Wholesale,7/9/2025,223,47063.49,4,0,0,1829.9
Beth Jacob Congregation,7/2/2025,136,15703.23,11,0,0,723.22
Bluey's Kitchen Santa Monica,7/11/2025,473,29041.41,2,0,0,1237.37
Bluey's Kitchen Venice,7/7/2025,284,17492.26,6,0,0,3532.09
Bnai David Judea Congregation,12/17/2024,6,2114.66,208,1,1,0
"Bodega, Los Alamos",6/12/2025,2,502.52,31,0,0,0
Bodega-----old Los Alamos (CHG)-----old,4/17/2025,9,941.16,87,0,0,0
Borekas Sephardic Pastries- Van Nuys,5/29/2025,7,410.71,45,0,0,426.38
Borekas Sephardic Pastries- Ventura,4/9/2025,1,85.99,95,1,1,0
Bostan By Grandma,7/3/2025,6,399.43,10,0,0,0
Bostons Best Coffee,5/28/2025,116,350266.66,46,0,0,39483.29
Botanica Restaurant & Market,7/10/2025,97,6188.99,3,0,0,790.49
